prompts;tokensprompt;tokensanswer;;;REFACTORING;NNEW FEATURE;BUG FIXING;ENERGY;SECURITY;nw;;;;;;;;;
1;530;443;;;1;1;0;0;1;12005;;;;;;;;;
1;535;313;;;0;0;0;0;0;00000;;;;;;;;;
1;538;306;;;0;1;1;0;0;02300;;;;;;;;;
1;539;495;;;1;0;0;0;0;10000;;;;;;;;;
1;542;445;;;0;0;0;1;0;00040;;;;;;;;;
1;542;364;;;0;0;0;1;0;00040;;;;;;;;;
1;542;306;;;0;0;0;1;0;00040;;;;;;;;;
1;551;237;;;0;0;0;1;0;00040;;;;;;;;;
1;552;363;;;0;0;0;1;0;00040;;;;;;;;;
1;554;249;;;1;0;0;1;0;10040;;;;;;;;;
1;557;715;;;0;0;0;1;0;00040;;;;;;;;;
1;557;390;;;0;1;0;0;0;02000;;;;;;;;;
1;561;509;;;0;1;0;0;0;02000;;;;;;;;;
1;564;336;;;1;1;0;0;0;12000;;;;;;;;;
1;566;575;;;1;0;0;1;0;10040;;;;;;;;;
1;568;488;;;0;1;0;0;0;02000;;;;;;;;;
1;569;558;;;1;0;0;1;0;10040;;;;;;;;;
1;572;443;;;1;0;0;0;0;10000;;;;;;;;;
1;581;418;;;0;0;0;0;1;00005;;;;;;;;;
1;587;320;;;1;0;0;0;0;10000;;;;;;;;;
1;589;335;;;0;1;0;0;0;02000;;;;;;;;;
1;593;461;;;0;1;0;0;0;02000;;;;;;;;;
1;593;570;;;0;0;0;0;0;00000;;;;;;;;;
1;603;556;;;0;1;0;0;0;02000;;;;;;;;;
1;607;396;;;0;0;0;0;0;00000;;;;;;;;;
1;610;305;;;0;0;0;1;0;00040;;;;;;;;;
1;610;338;;;0;0;0;0;1;00005;;;;;;;;;
1;612;218;;;0;0;0;0;0;00000;;;;;;;;;
1;613;436;;;0;0;0;0;1;00005;;;;;;;;;
1;616;397;;;1;0;0;0;0;10000;;;;;;;;;
1;623;348;;;0;0;1;0;0;00300;;;;;;;;;
1;626;317;;;1;0;0;0;0;10000;;;;;;;;;
1;631;418;;;0;0;1;0;0;00300;;;;;;;;;
1;633;369;;;0;0;0;1;0;00040;;;;;;;;;
1;633;412;;;0;0;0;0;0;00000;;;;;;;;;
1;638;352;;;0;1;0;0;0;02000;;;;;;;;;
1;645;489;;;0;1;1;0;0;02300;;;;;;;;;
1;646;635;;;0;1;0;0;1;02005;;;;;;;;;
1;649;356;;;0;0;0;0;0;00000;;;;;;;;;
1;649;557;;;0;0;0;0;0;00000;;;;;;;;;
1;651;388;;;0;1;1;1;0;02340;;;;;;;;;
1;658;524;;;0;1;0;0;0;02000;;;;;;;;;
1;658;660;;;1;0;0;0;0;10000;;;;;;;;;
1;660;355;;;0;0;0;1;0;00040;;;;;;;;;
1;669;562;;;0;0;0;0;0;00000;;;;;;;;;
1;670;486;;;1;0;0;1;0;10040;;;;;;;;;
1;673;457;;;1;1;0;0;0;12000;;;;;;;;;
1;686;413;;;0;0;0;0;0;00000;;;;;;;;;
1;694;344;;;0;0;0;0;0;00000;;;;;;;;;
1;697;247;;;0;1;0;0;0;02000;;;;;;;;;
1;697;567;;;0;0;0;0;1;00005;;;;;;;;;
1;700;564;;;1;0;0;0;0;10000;;;;;;;;;
1;701;473;;;1;0;0;0;0;10000;;;;;;;;;
1;702;719;;;0;0;1;0;0;00300;;;;;;;;;
1;704;716;;;0;1;0;0;0;02000;;;;;;;;;
1;704;483;;;0;1;0;0;0;02000;;;;;;;;;
1;704;632;;;1;0;0;0;1;10005;;;;;;;;;
1;707;831;;;1;1;0;1;0;12040;;;;;;;;;
1;714;559;;;0;1;0;0;0;02000;;;;;;;;;
1;714;447;;;0;1;0;0;0;02000;;;;;;;;;
1;720;802;;;0;1;1;0;0;02300;;;;;;;;;
1;724;458;;;1;0;0;0;0;10000;;;;;;;;;
1;724;181;;;1;0;0;1;0;10040;;;;;;;;;
1;726;633;;;0;0;0;0;0;00000;;;;;;;;;
1;731;262;;;0;1;0;0;0;02000;;;;;;;;;
1;751;610;;;0;0;0;0;1;00005;;;;;;;;;
1;753;457;;;1;0;0;0;0;10000;;;;;;;;;
1;763;270;;;0;0;0;0;0;00000;;;;;;;;;
1;769;321;;;0;0;0;0;0;00000;;;;;;;;;
1;778;636;;;1;0;0;1;0;10040;;;;;;;;;
1;780;610;;;0;0;0;0;0;00000;;;;;;;;;
1;781;195;;;1;0;0;1;0;10040;;;;;;;;;
1;784;270;;;0;1;0;0;0;02000;;;;;;;;;
1;787;356;;;0;1;1;0;0;02300;;;;;;;;;
1;795;577;;;0;1;0;1;0;02040;;;;;;;;;
1;796;438;;;0;1;0;1;0;02040;;;;;;;;;
1;797;582;;;1;1;0;0;0;12000;;;;;;;;;
1;800;589;;;1;1;0;0;0;12000;;;;;;;;;
1;814;545;;;1;1;0;0;0;12000;;;;;;;;;
1;816;623;;;1;1;0;0;0;12000;;;;;;;;;
1;818;335;;;0;0;0;1;0;00040;;;;;;;;;
1;821;313;;;0;1;0;0;1;02005;;;;;;;;;
1;823;176;;;1;0;0;0;1;10005;;;;;;;;;
1;827;126;;;1;0;0;0;0;10000;;;;;;;;;
1;841;1004;;;0;1;0;0;0;02000;;;;;;;;;
1;845;751;;;1;0;0;0;1;10005;;;;;;;;;
1;845;505;;;1;0;0;0;0;10000;;;;;;;;;
1;851;754;;;0;0;1;0;0;00300;;;;;;;;;
1;858;781;;;0;1;0;0;0;02000;;;;;;;;;
1;858;541;;;0;0;0;0;0;00000;;;;;;;;;
1;860;582;;;1;0;0;1;0;10040;;;;;;;;;
1;864;896;;;0;0;1;0;0;00300;;;;;;;;;
1;866;769;;;0;1;0;0;0;02000;;;;;;;;;
1;881;704;;;1;0;0;0;0;10000;;;;;;;;;
1;885;459;;;0;0;0;1;0;00040;;;;;;;;;
1;886;262;;;1;0;0;1;0;10040;;;;;;;;;
1;914;835;;;0;1;0;0;0;02000;;;;;;;;;
1;926;199;;;1;0;0;1;0;10040;;;;;;;;;
1;930;867;;;0;0;0;0;1;00005;;;;;;;;;
1;935;526;;;0;0;0;0;0;00000;;;;;;;;;
1;937;781;;;0;0;0;1;0;00040;;;;;;;;;
1;937;754;;;1;0;0;1;0;10040;;;;;;;;;
1;953;268;;;1;1;0;1;0;12040;;;;;;;;;
1;956;553;;;0;1;0;0;0;02000;;;;;;;;;
1;957;884;;;0;0;1;0;0;00300;;;;;;;;;
1;965;953;;;1;0;0;1;0;10040;;;;;;;;;
1;974;582;;;0;1;0;0;0;02000;;;;;;;;;
1;978;867;;;0;0;0;1;0;00040;;;;;;;;;
1;985;742;;;0;0;1;0;0;00300;;;;;;;;;
1;985;795;;;0;0;0;1;0;00040;;;;;;;;;
1;991;288;;;0;1;0;1;0;02040;;;;;;;;;
1;994;743;;;0;0;0;0;0;00000;;;;;;;;;
1;995;179;;;0;0;0;0;0;00000;;;;;;;;;
1;1002;939;;;0;1;0;0;0;02000;;;;;;;;;
1;1008;847;;;1;1;0;0;0;12000;;;;;;;;;
1;1009;420;;;1;0;0;1;0;10040;;;;;;;;;
1;1019;739;;;0;1;0;0;0;02000;;;;;;;;;
1;1025;842;;;0;1;0;0;0;02000;;;;;;;;;
1;1026;280;;;1;0;0;1;0;10040;;;;;;;;;
1;1032;296;;;0;0;0;1;0;00040;;;;;;;;;
1;1036;207;;;0;0;1;0;0;00300;;;;;;;;;
1;1054;271;;;0;0;0;0;0;00000;;;;;;;;;
1;1060;300;;;1;0;0;0;0;10000;;;;;;;;;
1;1070;669;;;1;0;0;1;0;10040;;;;;;;;;
1;1094;680;;;0;0;0;0;0;00000;;;;;;;;;
1;1098;688;;;0;0;0;0;1;00005;;;;;;;;;
1;1108;444;;;0;0;0;0;1;00005;;;;;;;;;
1;1135;830;;;0;0;0;0;0;00000;;;;;;;;;
1;1140;645;;;0;0;0;0;0;00000;;;;;;;;;
1;1160;399;;;0;0;0;0;0;00000;;;;;;;;;
1;1223;403;;;1;0;0;1;0;10040;;;;;;;;;
1;1251;1035;;;0;0;0;0;0;00000;;;;;;;;;
1;1262;331;;;0;1;0;0;0;02000;;;;;;;;;
1;1263;269;;;1;0;0;0;0;10000;;;;;;;;;
1;1287;451;;;1;0;0;0;0;10000;;;;;;;;;
1;1300;406;;;0;0;0;0;0;00000;;;;;;;;;
2;25;890;;;0;0;0;1;0;00040;;;;;;;;;
2;161;564;;;0;0;0;0;0;00000;;;;;;;;;
2;189;774;;;0;0;0;1;0;00040;;;;;;;;;
2;241;756;;;0;1;0;0;0;02000;;;;;;;;;
2;256;394;;;0;0;1;0;0;00300;;;;;;;;;
2;258;374;;;1;0;0;0;0;10000;;;;;;;;;
2;294;376;;;0;0;0;0;0;00000;;;;;;;;;
2;329;574;;;0;1;0;0;1;02005;;;;;;;;;
2;348;599;;;0;0;0;1;0;00040;;;;;;;;;
2;348;365;;;0;0;0;0;0;00000;;;;;;;;;
2;372;615;;;0;0;0;0;0;00000;;;;;;;;;
2;376;433;;;0;0;0;0;0;00000;;;;;;;;;
2;380;453;;;1;0;0;0;0;10000;;;;;;;;;
2;396;454;;;0;1;0;0;0;02000;;;;;;;;;
2;419;552;;;0;0;1;0;0;00300;;;;;;;;;
2;422;950;;;0;0;0;0;0;00000;;;;;;;;;
2;427;558;;;0;1;0;0;0;02000;;;;;;;;;
2;479;797;;;1;0;0;1;0;10040;;;;;;;;;
2;480;369;;;0;0;0;1;0;00040;;;;;;;;;
2;485;676;;;0;1;0;0;0;02000;;;;;;;;;
2;494;508;;;1;0;0;1;0;10040;;;;;;;;;
2;504;508;;;0;0;0;0;0;00000;;;;;;;;;
2;507;975;;;0;0;1;0;0;00300;;;;;;;;;
2;515;688;;;0;0;1;0;0;00300;;;;;;;;;
2;522;737;;;1;0;0;1;0;10040;;;;;;;;;
2;526;482;;;1;0;0;0;0;10000;;;;;;;;;
2;527;942;;;0;0;0;0;0;00000;;;;;;;;;
2;545;865;;;0;0;0;0;0;00000;;;;;;;;;
2;546;602;;;1;0;0;0;1;10005;;;;;;;;;
2;559;910;;;0;0;0;0;1;00005;;;;;;;;;
2;577;567;;;0;0;0;0;0;00000;;;;;;;;;
2;577;815;;;0;0;0;0;0;00000;;;;;;;;;
2;578;680;;;0;0;0;1;0;00040;;;;;;;;;
2;600;945;;;0;0;0;0;1;00005;;;;;;;;;
2;615;1498;;;0;0;0;0;0;00000;;;;;;;;;
2;619;852;;;0;0;0;0;0;00000;;;;;;;;;
2;624;1389;;;0;0;0;0;0;00000;;;;;;;;;
2;626;1094;;;0;0;0;0;0;00000;;;;;;;;;
2;630;536;;;0;1;1;0;0;02300;;;;;;;;;
2;633;728;;;0;0;0;0;0;00000;;;;;;;;;
2;637;342;;;0;0;0;0;0;00000;;;;;;;;;
2;638;595;;;0;0;0;0;0;00000;;;;;;;;;
2;653;808;;;1;0;0;1;0;10040;;;;;;;;;
2;653;667;;;1;0;0;1;0;10040;;;;;;;;;
2;670;1119;;;1;0;0;1;0;10040;;;;;;;;;
2;694;922;;;1;0;0;1;0;10040;;;;;;;;;
2;737;480;;;1;0;0;1;0;10040;;;;;;;;;
2;747;991;;;1;0;0;0;0;10000;;;;;;;;;
2;750;935;;;0;1;1;0;0;02300;;;;;;;;;
2;754;524;;;0;1;0;0;0;02000;;;;;;;;;
2;758;529;;;1;0;0;0;0;10000;;;;;;;;;
2;759;761;;;1;0;0;0;0;10000;;;;;;;;;
2;772;1408;;;0;1;0;0;0;02000;;;;;;;;;
2;775;1046;;;0;0;0;0;0;00000;;;;;;;;;
2;777;1579;;;0;0;0;0;0;00000;;;;;;;;;
2;784;246;;;0;0;0;0;0;00000;;;;;;;;;
2;801;998;;;1;1;0;0;0;12000;;;;;;;;;
2;805;779;;;0;1;0;0;0;02000;;;;;;;;;
2;818;1457;;;0;1;0;0;0;02000;;;;;;;;;
2;830;1123;;;0;0;0;1;0;00040;;;;;;;;;
2;841;880;;;0;0;0;1;0;00040;;;;;;;;;
2;856;1077;;;0;0;0;1;0;00040;;;;;;;;;
2;868;872;;;0;0;0;1;0;00040;;;;;;;;;
2;872;764;;;1;0;0;0;0;10000;;;;;;;;;
2;896;738;;;0;0;0;1;0;00040;;;;;;;;;
2;911;1711;;;0;0;0;1;0;00040;;;;;;;;;
2;919;1350;;;0;1;0;1;0;02040;;;;;;;;;
2;926;1319;;;0;1;0;1;0;02040;;;;;;;;;
2;932;752;;;0;1;0;1;0;02040;;;;;;;;;
2;958;1185;;;0;1;0;1;0;02040;;;;;;;;;
2;958;1043;;;0;1;0;1;0;02040;;;;;;;;;
2;992;1708;;;0;0;1;0;0;00300;;;;;;;;;
2;1034;1335;;;0;0;1;0;1;00305;;;;;;;;;
2;1039;1065;;;1;0;0;0;0;10000;;;;;;;;;
2;1140;974;;;0;0;0;0;0;00000;;;;;;;;;
2;1142;940;;;0;1;1;0;0;02300;;;;;;;;;
2;1218;1093;;;0;1;0;0;0;02000;;;;;;;;;
2;1335;545;;;0;0;0;1;0;00040;;;;;;;;;
2;1434;995;;;0;0;0;1;0;00040;;;;;;;;;
2;1653;912;;;0;1;0;0;0;02000;;;;;;;;;
2;1663;1067;;;0;1;0;0;0;02000;;;;;;;;;
2;2259;940;;;0;1;0;0;0;02000;;;;;;;;;
3;78;906;;;0;1;0;0;0;02000;;;;;;;;;
3;92;537;;;0;0;0;0;0;00000;;;;;;;;;
3;139;741;;;0;0;1;0;0;00300;;;;;;;;;
3;255;573;;;0;0;0;0;0;00000;;;;;;;;;
3;314;1148;;;0;0;0;0;1;00005;;;;;;;;;
3;359;878;;;0;0;0;0;0;00000;;;;;;;;;
3;396;1129;;;0;1;0;0;0;02000;;;;;;;;;
3;442;992;;;0;0;1;0;0;00300;;;;;;;;;
3;485;1086;;;0;0;0;0;0;00000;;;;;;;;;
3;486;1248;;;0;0;0;0;0;00000;;;;;;;;;
3;539;874;;;0;1;1;0;0;02300;;;;;;;;;
3;552;1404;;;0;1;1;0;1;02305;;;;;;;;;
3;573;1391;;;0;0;1;0;1;00305;;;;;;;;;
3;613;921;;;0;1;1;0;0;02300;;;;;;;;;
3;626;1528;;;0;1;1;0;0;02300;;;;;;;;;
3;639;1712;;;0;1;1;0;0;02300;;;;;;;;;
3;641;1066;;;0;1;1;0;0;02300;;;;;;;;;
3;644;1830;;;0;0;0;0;0;00000;;;;;;;;;
3;648;1498;;;0;0;0;0;0;00000;;;;;;;;;
3;678;2042;;;1;0;0;0;0;10000;;;;;;;;;
3;682;1444;;;1;0;0;0;0;10000;;;;;;;;;
3;716;1771;;;0;0;0;0;1;00005;;;;;;;;;
3;757;1359;;;1;0;0;0;0;10000;;;;;;;;;
3;793;2061;;;0;0;0;1;0;00040;;;;;;;;;
3;823;1426;;;0;0;0;0;1;00005;;;;;;;;;
3;869;2406;;;0;0;0;0;1;00005;;;;;;;;;
3;932;2053;;;1;0;0;0;0;10000;;;;;;;;;
3;995;1014;;;1;0;0;0;0;10000;;;;;;;;;
3;1010;2349;;;0;1;0;0;0;02000;;;;;;;;;
3;1450;3803;;;0;1;0;0;0;02000;;;;;;;;;
3;1582;1198;;;0;0;0;1;0;00040;;;;;;;;;
3;1686;853;;;0;1;0;0;0;02000;;;;;;;;;
3;1698;1439;;;0;0;0;1;0;00040;;;;;;;;;
3;2391;522;;;0;0;0;1;0;00040;;;;;;;;;
4;256;1719;;;0;0;1;0;0;00300;;;;;;;;;
4;499;2138;;;0;0;0;0;1;00005;;;;;;;;;
4;537;2242;;;0;0;0;0;1;00005;;;;;;;;;
4;580;1446;;;0;0;0;0;1;00005;;;;;;;;;
4;620;1581;;;0;0;0;0;1;00005;;;;;;;;;
4;620;767;;;0;1;0;1;0;02040;;;;;;;;;
4;651;1849;;;0;0;0;0;1;00005;;;;;;;;;
4;660;2344;;;0;0;0;0;0;00000;;;;;;;;;
4;685;2394;;;0;1;0;0;0;02000;;;;;;;;;
4;705;2499;;;0;1;0;0;0;02000;;;;;;;;;
4;711;3025;;;0;0;0;0;0;00000;;;;;;;;;
4;802;2491;;;0;0;1;0;0;00300;;;;;;;;;
4;902;2487;;;0;0;0;1;0;00040;;;;;;;;;
4;930;2683;;;0;0;0;0;0;00000;;;;;;;;;
4;944;2896;;;0;1;0;0;0;02000;;;;;;;;;
4;1049;3285;;;0;1;0;0;1;02005;;;;;;;;;
4;1088;1485;;;0;1;0;0;1;02005;;;;;;;;;
4;1118;1020;;;1;0;0;1;0;10040;;;;;;;;;
4;1143;1992;;;0;1;0;0;0;02000;;;;;;;;;
4;1147;945;;;0;0;0;0;0;00000;;;;;;;;;
4;1525;2020;;;0;0;0;0;0;00000;;;;;;;;;
4;1529;1673;;;1;0;0;0;0;10000;;;;;;;;;
5;47;2097;;;1;0;0;0;0;10000;;;;;;;;;
5;167;2083;;;0;1;0;0;0;02000;;;;;;;;;
5;267;908;;;0;1;0;0;0;02000;;;;;;;;;
5;563;1605;;;0;0;0;0;1;00005;;;;;;;;;
5;758;2401;;;0;0;0;0;0;00000;;;;;;;;;
5;805;3312;;;0;1;0;0;0;02000;;;;;;;;;
5;939;2460;;;0;1;0;0;0;02000;;;;;;;;;
5;1164;2664;;;0;1;0;0;0;02000;;;;;;;;;
5;1208;1662;;;0;1;0;0;0;02000;;;;;;;;;
5;1257;2120;;;0;1;0;0;0;02000;;;;;;;;;
5;1872;2085;;;0;1;0;0;0;02000;;;;;;;;;
5;2002;1751;;;0;0;0;0;0;00000;;;;;;;;;
6;128;2402;;;0;0;0;0;0;00000;;;;;;;;;
6;5774;2176;;;0;0;0;0;0;00000;;;;;;;;;
7;598;2346;;;0;0;0;0;0;00000;;;;;;;;;
7;944;3735;;;0;1;0;0;1;02005;;;;;;;;;
7;1098;2801;;;0;0;0;0;1;00005;;;;;;;;;
7;1825;2887;;;0;0;0;0;0;00000;;;;;;;;;
8;714;3671;;;0;0;0;0;0;00000;;;;;;;;;
8;819;5323;;;0;1;0;0;0;02000;;;;;;;;;
8;1071;3909;;;0;1;0;0;0;02000;;;;;;;;;
8;1133;4115;;;0;0;0;1;0;00040;;;;;;;;;
8;1169;3643;;;0;0;0;1;0;00040;;;;;;;;;
9;2616;3429;;;0;0;1;0;0;00300;;;;;;;;;
10;724;5025;;;0;0;1;0;0;00300;;;;;;;;;
10;1065;4262;;;0;0;0;0;1;00005;;;;;;;;;
10;2827;3160;;;0;0;0;0;1;00005;;;;;;;;;
11;3961;3696;;;0;0;1;0;0;00300;;;;;;;;;
11;4749;6284;;;0;0;1;0;0;00300;;;;;;;;;
14;913;7258;;;0;0;0;1;0;00040;;;;;;;;;
15;3519;4766;;;0;0;0;1;0;00040;;;;;;;;;
16;3270;5795;;;0;1;0;0;0;02000;;;;;;;;;
16;11430;5924;;;0;1;0;0;0;02000;;;;;;;;;
20;1495;6505;;;0;1;0;0;0;02000;;;;;;;;;
20;1496;6505;;;1;0;0;0;0;10000;;;;;;;;;
22;745;8136;;;1;1;0;0;0;12000;;;;;;;;;
25;832;13149;;;0;1;0;0;0;02000;;;;;;;;;
26;540;14236;;;1;0;0;0;0;10000;;;;;;;;;
27;3241;12488;;;1;0;0;0;1;10005;;;;;;;;;
34;3384;15442;;;0;0;0;0;1;00005;;;;;;;;;
1;6;309;;;0;0;0;0;0;00000;;;;;;;;;
1;7;376;;;0;0;0;0;0;00000;;;;;;;;;
1;10;314;;;0;0;1;0;0;00300;;;;;;;;;
1;10;460;;;0;0;1;0;0;00300;;;;;;;;;
1;11;410;;;0;0;1;0;0;00300;;;;;;;;;
1;13;306;;;0;0;0;0;0;00000;;;;;;;;;
1;14;578;;;0;0;0;0;0;00000;;;;;;;;;
1;16;553;;;0;0;0;0;0;00000;;;;;;;;;
1;17;404;;;1;1;0;0;0;12000;;;;;;;;;
1;17;267;;;0;0;0;1;1;00045;;;;;;;;;
1;17;384;;;0;0;1;0;0;00300;;;;;;;;;
1;23;200;;;1;0;0;0;0;10000;;;;;;;;;
1;26;399;;;1;0;0;0;0;10000;;;;;;;;;
1;27;236;;;0;1;0;0;0;02000;;;;;;;;;
1;28;488;;;0;1;0;0;0;02000;;;;;;;;;
1;31;474;;;1;0;0;1;0;10040;;;;;;;;;
1;36;200;;;1;0;0;1;0;10040;;;;;;;;;
1;38;670;;;0;0;0;0;1;00005;;;;;;;;;
1;40;292;;;0;0;0;0;1;00005;;;;;;;;;
1;57;283;;;0;0;0;0;0;00000;;;;;;;;;
1;70;407;;;0;0;0;0;0;00000;;;;;;;;;
1;71;181;;;0;1;0;0;0;02000;;;;;;;;;
1;93;362;;;0;0;0;1;0;00040;;;;;;;;;
1;108;492;;;0;0;0;1;0;00040;;;;;;;;;
1;110;470;;;0;0;0;0;1;00005;;;;;;;;;
1;113;416;;;1;0;0;0;1;10005;;;;;;;;;
1;187;286;;;1;0;0;1;0;10040;;;;;;;;;
1;197;232;;;1;0;0;1;0;10040;;;;;;;;;
1;294;364;;;0;0;0;0;0;00000;;;;;;;;;
1;332;362;;;0;0;0;0;0;00000;;;;;;;;;
1;338;540;;;0;0;0;0;0;00000;;;;;;;;;
1;339;678;;;1;0;0;0;0;10000;;;;;;;;;
1;341;522;;;0;0;0;0;1;00005;;;;;;;;;
1;343;848;;;0;0;0;0;0;00000;;;;;;;;;
1;356;519;;;0;0;0;0;0;00000;;;;;;;;;
1;447;75;;;0;0;0;0;0;00000;;;;;;;;;
1;538;436;;;0;0;0;0;0;00000;;;;;;;;;
1;636;365;;;0;0;0;1;0;00040;;;;;;;;;
1;702;692;;;0;0;0;1;0;00040;;;;;;;;;
1;733;635;;;0;1;1;0;0;02300;;;;;;;;;
1;823;505;;;0;1;1;0;0;02300;;;;;;;;;
