Type;RepoLanguage;Title-Programmer;Title-GPT;NumberOfPrompts;TokensOfPrompts;TokensOfAnswers;CodeGPT;LinesUsed;LinesGivenGPT;Usage_Ratio_y_x;Similarity_Web_y_x;String;New-Feature ;Refactor;Security ;Bug-Fix ;Energy;StringGPT;NewFeatureGPT; RefactorGPT; SecurityGPT ;Bug-Fix GPT;EnergyGPT;CodeUSED
code file;HTML; Bug-Fix   Bug-Fix ;Prog-language New-Feature ;3;135;1260;NOREFERENCE;21;23;0;0.08;0;0;0;0;1;0;0;0;0;0;1;0;1
code file;PYTHON;New-Feature ;New-Feature ;2;335;325;NOREFERENCE;2;18;0;0.01;0;1;0;0;0;0;0;0;0;0;0;0;1
code file;PYTHON;New-Feature ;New-Feature ;2;2347;979;NOREFERENCE;19;36;0;0.04;0;1;0;0;0;0;0;0;0;0;0;0;1
code file;PHP;Refactor  Security ;Prog-language;2;16;663;PHP;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;C;New-Feature ;Refactor ;2;100;894;LUA;58;66;0;0.24;0;1;0;0;0;0;0;0;1;0;0;0;1
code file;APL;New-Feature ;Bug-Fix ;2;71;491;PYTHON;7;27;0;0.01;0;1;0;0;0;0;0;0;0;0;0;0;1
code file;NOREFERENCE;Refactor ;String;1;26;478;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor; Bug-Fix  New-Feature;3;54;439;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor; Bug-Fix   LLM-ChatGPT;1;180;169;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;MATLAB;String;String;2;271;770;JAVASCRIPT;25;26;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
code file;MATLAB;String; Bug-Fix ;20;5878;7196;NOREFERENCE;28;157;0;0.01;1;0;0;0;0;0;0;0;0;0;0;0;1
code file;HTML;Refactor; New-Feature;1;147;503;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;ASSEMBLY;Refactor ;New-Feature ;1;18;288;BASH;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor;String;1;14;369;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor;String;1;9;451;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor ;Refactor Prog-language;1;13;242;BASH;0;4;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
code file;HTML;Refactor ;New-Feature ;1;10;263;PYTHON;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor ;Refactor ;1;9;348;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
code file;HTML;Refactor ;Refactor ;1;9;351;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
code file;HTML;Refactor ;New-Feature ;1;9;277;NOREFERENCE;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1
code file;HTML;Refactor ;New-Feature ;1;28;556;PYTHON;4;23;0;0.01;0;0;1;0;0;0;0;0;0;0;0;0;1
code file;HTML;Refactor ;Refactor ;1;20;370;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
code file;HTML;Refactor;String;1;23;221;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;PYTHON; New-Feature  Bug-Fix ;String;6;165;2247;PYTHON;49;103;0;0.12;0;1;0;0;1;0;1;1;0;0;1;0;1
code file;HTML;Refactor;String;1;7;298;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor;Refactor ;2;38;491;PYTHON;9;30;0;0.01;0;0;1;0;0;0;0;0;1;0;0;0;1
code file;HTML;Refactor;String;16;390;3801;NOREFERENCE;20;80;0;0.01;0;0;1;0;0;0;1;1;0;0;0;0;1
code file;HTML;Refactor;String;3;61;327;SQL;0;5;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor ;New-Feature ;2;478;39;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor;String;1;7;298;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor; Bug-Fix  New-Feature;3;54;439;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor;String;1;23;221;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor;String;1;14;369;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor; Bug-Fix   LLM-ChatGPT;1;180;169;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor;Refactor ;2;38;491;PYTHON;9;30;0;0.01;0;0;1;0;0;0;0;0;1;0;0;0;1
code file;HTML;Refactor;String;16;390;3801;NOREFERENCE;18;72;0;0.06;0;0;1;0;0;0;1;1;0;0;0;0;1
code file;HTML;Refactor; New-Feature;1;147;503;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor ;Prog-language ;1;13;317;PYTHON;2;9;0;0.01;0;0;1;0;0;0;0;0;0;0;0;0;1
code file;HTML;Refactor; New-Feature;1;147;503;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor; Bug-Fix  New-Feature;3;54;439;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;NOREFERENCE;Bug-Fix New-Feature ;String;1;1231;129;NOREFERENCE;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0
code file;HTML;Refactor; Bug-Fix   LLM-ChatGPT;1;180;169;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;PYTHON; New-Feature; New-Feature;4;101;1101;NOREFERENCE;6;16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
code file;BASH;New-Feature ; Security ;1;11;392;NOREFERENCE;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0
code file;HTML;Refactor;String;1;9;451;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor; New-Feature;1;147;503;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor ;String;8;182;3812;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;C;Bug-Fix  Bug-Fix  Refactor;Prog-language;22;720;6445;ANDROID;94;248;0;0.01;0;0;1;0;1;0;0;0;0;0;1;0;1
code file;HTML;Refactor;String;1;14;369;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;NOREFERENCE;Refactor ;String;1;36;342;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;JAVASCRIPT;Refactor ;String;5;1093;998;NOREFERENCE;8;17;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1
code file;HTML;Refactor ;String;3;75;614;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;LUA;String;Security ;1;34;553;ARDUINO;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
code file;BASH;New-Feature Bug-Fix Prog-language Security New-Feature ;String;1;706;88;NOREFERENCE;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0
code file;HTML;New-Feature  Refactor ;String;2;188;630;NOREFERENCE;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;New-Feature  Refactor ;String;2;30;16;NOREFERENCE;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;New-Feature  Refactor ;String;1;33;9;NOREFERENCE;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;New-Feature  Refactor ;String;5;630;1047;NOREFERENCE;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;New-Feature  Refactor ;Refactor ;5;144;103;NOREFERENCE;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0
code file;C;String;String;8;182;3812;NOREFERENCE;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor;String;1;23;221;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor;String;1;9;451;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor;String;3;61;327;SQL;0;5;0;0.01;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;LUA;String;Refactor;2;30;390;NOREFERENCE;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
code file;JAVASCRIPT;Refactor ;String;5;1093;998;NOREFERENCE;8;17;0;0.01;0;0;1;0;0;0;1;1;0;0;0;0;1
code file;HTML;New-Feature ;String;10;511;3599;YAML;138;206;0;0.27;0;1;0;0;0;0;1;1;0;0;0;0;1
code file;HTML;Refactor;String;1;23;221;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor;String;16;390;3801;NOREFERENCE;10;34;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1
code file;HTML;Refactor;String;16;390;3801;NOREFERENCE;5;21;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1
code file;HTML;Refactor;String;1;7;298;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;String;Refactor;3;1302;1116;NOREFERENCE;14;62;0;0.02;1;0;0;0;0;0;0;0;1;0;0;0;1
code file;BASH;Refactor Prog-language ; Bug-Fix ;2;1294;770;NOREFERENCE;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
code file;HTML; New-Feature Refactor ;String;2;34;622;NOREFERENCE;0;2;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0
code file;ANDROID;Refactor ;String;1;44;267;ANDROID;5;10;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1
code file;HTML;Refactor LLM-ChatGPT;LLM-ChatGPT Prog-language ;2;1808;563;NOREFERENCE;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor ;Bug-Fix ;1;617;456;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor ; Bug-Fix ;1;19;282;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor ;String;1;89;130;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor ;String;1;380;187;R;0;5;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor;Refactor ;2;38;491;PYTHON;9;30;0;0.01;0;0;1;0;0;0;0;0;1;0;0;0;1
code file;HTML;Refactor ;String;5;122;3132;PHP;66;248;0;0.03;0;0;1;0;0;0;1;1;0;0;0;0;1
code file;HTML;Refactor;String;16;390;3801;NOREFERENCE;18;70;0;0.02;0;0;1;0;0;0;1;1;0;0;0;0;1
code file;PYTHON;Refactor New-Feature ;LLM-ChatGPT Refactor;1;4;193;NOREFERENCE;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0
code file;HTML;Refactor;String;3;61;327;SQL;0;5;0;0.01;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor ;Security New-Feature ;1;17;390;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;NOREFERENCE;Refactor ;String;2;4599;996;SUDOLANG;0;5;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;JAVASCRIPT;Bug-Fix ;New-Feature ;4;1955;1674;JAVASCRIPT;12;35;0;0.08;0;0;0;0;1;0;0;0;0;0;1;0;1
code file;HTML;String; New-Feature;1;10;352;NOREFERENCE;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
code file;HTML;String; New-Feature;1;11;94;NOREFERENCE;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor ;String;1;224;51;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor ;String;1;213;47;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor ;New-Feature ;1;514;23;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor ;String;1;167;59;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;BASH;String;String;10;128;4153;NOREFERENCE;25;39;0;0.08;1;0;0;0;0;0;1;1;0;0;0;0;1
code file;HTML;Refactor ;Security New-Feature ;1;17;390;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;C;Bug-Fix ;String;1;7;249;VBA;1;8;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1
code file;C;Bug-Fix ;String;1;15;416;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;3;28;274;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;2;10;984;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;Prog-language;2;15;885;RUST;11;26;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1
code file;C;Bug-Fix ;String;1;6;954;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;3;15;1460;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;LLM-ChatGPT String;1;8;580;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;1;13;548;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;1;11;473;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;Prog-language ;1;10;592;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
code file;C;Bug-Fix ;Prog-language ;2;21;1598;RUST;61;182;0;0.01;0;0;0;0;1;0;0;0;0;0;1;0;1
code file;C;Bug-Fix ;String;1;6;376;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;2;28;866;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;New-Feature ;1;9;394;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
code file;C;Bug-Fix ;Prog-language ;1;14;262;C;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
code file;C;Bug-Fix ;String;3;37;1803;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;LLM-ChatGPT String;1;6;487;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;1;10;483;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;1;11;438;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;1;10;431;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;2;22;85;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;1;8;737;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;LLM-ChatGPT String;1;12;491;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;1;7;510;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;3;20;1511;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;1;13;519;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;Refactor LLM-ChatGPT;2;30;516;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
code file;C;Bug-Fix ;String;3;22;1021;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;1;4;491;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;1;13;560;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;2;29;631;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;New-Feature ;2;19;1305;YAML;36;129;0;0.01;0;0;0;0;1;0;0;0;0;0;1;0;1
code file;C;Bug-Fix ;String;1;9;503;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;3;34;1550;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;C;Bug-Fix ;String;3;39;1445;HTML;13;94;0;0.01;0;0;0;0;1;0;1;1;0;0;1;0;1
code file;C;Bug-Fix ;String;3;20;1718;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;HTML;Refactor ;Security New-Feature ;1;17;390;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor ;Security New-Feature ;1;17;390;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor ;Security New-Feature ;1;17;390;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;C;String;Refactor ;9;132;3836;NOREFERENCE;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
code file;HTML;Refactor ;Prog-language ;1;25;97;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;New-Feature ;String;3;86;2461;NOREFERENCE;0;34;0;0.01;0;1;0;0;0;0;1;1;0;0;0;0;0
code file;HTML;New-Feature ;String;3;421;751;NOREFERENCE;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
code file;HTML;New-Feature ;String;3;86;2461;NOREFERENCE;0;42;0;0.01;0;1;0;0;0;0;1;1;0;0;0;0;0
code file;HTML;New-Feature ;String;3;421;751;NOREFERENCE;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
code file;HTML;New-Feature New-Feature ;String;3;86;2461;NOREFERENCE;0;42;0;0.02;0;1;0;0;0;0;1;1;0;0;0;0;0
code file;HTML;New-Feature New-Feature ;String;3;421;751;NOREFERENCE;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
code file;HTML;New-Feature ;String;3;86;2461;NOREFERENCE;0;42;0;0.03;0;1;0;0;0;0;1;1;0;0;0;0;0
code file;HTML;New-Feature ;String;3;421;751;NOREFERENCE;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
code file;ARC;Refactor  Refactor Prog-language;Refactor ;1;11;422;NOREFERENCE;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0
code file;HTML; New-Feature;Refactor ;1;11;422;NOREFERENCE;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
code file;HTML;Refactor ;Refactor ;1;11;422;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
code file;DIGITAL COMMAND LANGUAGE;New-Feature ; Security ;1;11;392;NOREFERENCE;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0
code file;HTML; New-Feature Refactor ;String;2;34;622;NOREFERENCE;0;2;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0
code file;HTML; New-Feature Refactor ;String;2;34;622;NOREFERENCE;0;2;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor ;String;2;34;622;NOREFERENCE;0;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor ;String;2;34;622;NOREFERENCE;0;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;HTML;Refactor  Bug-Fix ;Refactor Security ;30;2858;12044;NOREFERENCE;108;405;0;0.06;0;0;1;1;1;0;0;1;1;1;1;0;1
code file;HTML; Bug-Fix   Bug-Fix ;Prog-language Prog-language ;8;692;2630;BASH;166;234;1;0.24;0;0;0;0;1;0;0;0;0;0;1;0;1
code file;ASTRO;Bug-Fix ;String;1;34;223;JAVASCRIPT;0;5;0;0.02;0;0;0;0;1;0;1;1;0;0;1;0;0
code file;NOREFERENCE; New-Feature  New-Feature  New-Feature  Security New-Feature  New-Feature  Refactor Bug-Fix;Prog-language ;2;85;485;PYTHON;5;23;1;0.01;0;1;1;0;1;0;0;0;0;0;1;0;1
code file;HTML;New-Feature ;String;3;138;1559;JAVASCRIPT;13;18;2;0.07;0;1;0;0;0;0;1;1;0;0;0;0;1
code file;SQL;Refactor ;String;69;2708;14559;NOREFERENCE;88;526;0;0.44;0;0;1;0;0;0;1;1;0;0;0;0;1
code file;SQL;Refactor ;Bug-Fix ;1;1225;756;PYTHON;1;4;0;0.01;0;0;1;0;0;0;0;0;0;0;0;0;1
code file;SQL;Refactor ;Bug-Fix ;12;231;3672;SQL;37;169;0;0.11;0;0;1;0;0;0;0;0;0;0;0;0;1
code file;SQL;Refactor ;New-Feature  Security New-Feature;30;1226;9311;SQL;56;321;0;0.17;0;0;1;1;0;0;0;1;0;1;0;0;1
code file;SQL;Refactor ;New-Feature ;18;1406;6312;SQL;96;358;0;0.11;0;0;1;0;0;0;0;0;0;0;0;0;1
code file;SQL;Refactor ;String;8;130;2198;SQL;46;152;0;0.06;0;0;1;0;0;0;1;1;0;0;0;0;1
code file;SQL;Refactor ;String;27;744;8044;SQL;102;320;0;0.17;0;0;1;0;0;0;1;1;0;0;0;0;1
code file;SQL;Refactor ;String;26;820;6127;NOREFERENCE;50;239;0;0.21;0;0;1;0;0;0;1;1;0;0;0;0;1
code file;HTML;Refactor;Refactor ;2;38;491;PYTHON;9;29;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1
code file;HTML;Refactor; New-Feature;1;147;503;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;HTML;Refactor; Bug-Fix   LLM-ChatGPT;1;180;169;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
code file;NOREFERENCE;String;String;4;250;2947;NOREFERENCE;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0
code file;BASH; Bug-Fix ;String;2;14;747;BASH;12;53;0;0.01;0;0;0;0;1;0;1;1;0;0;1;0;1
code file;PYTHON;Security ;String;2;91;1033;PYTHON;13;63;0;0.04;0;0;0;0;0;0;1;1;0;0;0;0;1
code file;PYTHON;Security ;Refactor ;5;201;2442;PYTHON;20;76;0;0.03;0;0;0;0;0;0;0;0;1;0;0;0;1
code file;PYTHON;Security ;String;6;1832;2814;NOREFERENCE;15;31;0;0.02;0;0;0;0;0;0;1;1;0;0;0;0;1
